step,epoch,loss,accuracy,loss,macro_f1,macro_precision,macro_recall,neg_f1,neu_f1,pos_f1
5050,5.424274973147154,0.032,,0.032,,,,,,
5100,5.477980665950591,0.12567736208438873,0.9402751719824891,0.12567736208438873,0.8477990069302689,0.9018669357317165,0.8106871250768227,0.784688995215311,0.7904040404040404,0.9683039851714551
5150,5.531686358754028,0.05,,0.05,,,,,,
5200,5.585392051557465,0.12020079046487808,0.9437148217636022,0.12020079046487808,0.8492278193162802,0.8964540102775896,0.8156424265046885,0.7735849056603774,0.803030303030303,0.9710682492581603
5250,5.639097744360902,0.026,,0.026,,,,,,
5300,5.69280343716434,0.13211922347545624,0.9427767354596623,0.13211922347545624,0.8616410159622414,0.8879124619895657,0.840691554884601,0.8125,0.8035043804755945,0.9689186674111298
5350,5.746509129967777,0.0225,,0.0225,,,,,,
5400,5.800214822771213,0.13295920193195343,0.9462163852407754,0.13295920193195343,0.8669535227485339,0.90516579640291,0.8366053170016242,0.8181818181818182,0.8117797695262484,0.9708989805375348
5450,5.853920515574651,0.037,,0.037,,,,,,
5500,5.907626208378088,0.1356087476015091,0.9480925578486554,0.1356087476015091,0.8663016516026635,0.9325153195864898,0.820403596227757,0.8115942028985508,0.815006468305304,0.9723042836041359
5550,5.961331901181525,0.038,,0.038,,,,,,
5600,6.015037593984962,0.12962844967842102,0.9515322076297686,0.12962844967842102,0.8734680480682769,0.9177109208776882,0.8370021788547994,0.8161434977578476,0.8304405874499332,0.9738200589970502
5650,6.0687432867884,0.0273,,0.0273,,,,,,
5700,6.122448979591836,0.12639543414115906,0.9527829893683553,0.12639543414115906,0.8765022386108919,0.924261175268966,0.8405029638881003,0.8186046511627907,0.8358974358974359,0.9750046287724495
5750,6.176154672395274,0.0206,,0.0206,,,,,,
5800,6.229860365198711,0.14677248895168304,0.9524702939337085,0.14677248895168304,0.879791640515037,0.9418778803293492,0.8316368420224974,0.8387096774193549,0.8267394270122783,0.9739258171134778
5850,6.283566058002148,0.0304,,0.0304,,,,,,
5900,6.337271750805585,0.14664040505886078,0.9496560350218887,0.14664040505886078,0.877939818293783,0.9251709647525006,0.8402758868099047,0.8401826484018264,0.821522309711286,0.9721144967682364
5950,6.390977443609023,0.0068,,0.0068,,,,,,
6000,6.4446831364124595,0.14564067125320435,0.9468417761100688,0.14564067125320435,0.8703769337881998,0.9183394078496899,0.8359869187785502,0.8262910798122066,0.8136020151133502,0.9712377064390425
6050,6.498388829215897,0.0309,,0.0309,,,,,,
6100,6.552094522019334,0.13200461864471436,0.9477798624140088,0.13200461864471436,0.8739942558315473,0.9196424382033698,0.839379418599914,0.8333333333333334,0.8173690932311622,0.9712803409301464
6150,6.6058002148227715,0.0203,,0.0203,,,,,,
6200,6.659505907626208,0.1465030312538147,0.9540337711069419,0.1465030312538147,0.8766449522143946,0.9355174552542973,0.8336774779909732,0.8151658767772512,0.8389610389610389,0.9758079409048939
6250,6.713211600429646,0.0326,,0.0326,,,,,,
6300,6.7669172932330826,0.14691327512264252,0.9540337711069419,0.14691327512264252,0.8763447975368505,0.9293353302119659,0.8339773199727314,0.8181818181818182,0.8351351351351352,0.9757174392935982
6350,6.82062298603652,0.0089,,0.0089,,,,,,
6400,6.874328678839957,0.14556659758090973,0.9530956848030019,0.14556659758090973,0.8798157464986068,0.9233158473621517,0.8457985935521237,0.8256880733944955,0.8391248391248392,0.9746343269764859
6450,6.9280343716433945,0.0288,,0.0288,,,,,,
6500,6.981740064446831,0.14669719338417053,0.9530956848030019,0.14669719338417053,0.885466302877218,0.925838274512078,0.8545564302057898,0.8440366972477065,0.8379746835443038,0.9743875278396437
6550,7.035445757250269,0.0208,,0.0208,,,,,,
6600,7.089151450053706,0.14529411494731903,0.9534083802376485,0.14529411494731903,0.8834073360426483,0.9306662044510073,0.848074997004339,0.8372093023255814,0.8382165605095542,0.9747961452928094
6650,7.142857142857143,0.0114,,0.0114,,,,,,
6700,7.19656283566058,0.15468034148216248,0.9527829893683553,0.15468034148216248,0.8804386758743791,0.9246882785245606,0.8463914953208374,0.8294930875576036,0.8373879641485276,0.9744349759170063
6750,7.250268528464018,0.0201,,0.0201,,,,,,
6800,7.303974221267454,0.15491518378257751,0.948405253283302,0.15491518378257751,0.8758593576194592,0.9105378496700344,0.8491034306318496,0.8363636363636363,0.8190954773869347,0.9721189591078067
6850,7.357679914070891,0.008,,0.008,,,,,,
6900,7.411385606874329,0.1539560705423355,0.9540337711069419,0.1539560705423355,0.8835099043861133,0.9186009706689174,0.8556470301205777,0.832579185520362,0.8426395939086294,0.9753109337293484
6950,7.465091299677766,0.0128,,0.0128,,,,,,
7000,7.518796992481203,0.1619047373533249,0.9552845528455285,0.1619047373533249,0.8876102255490191,0.9278070899607567,0.8561447282666522,0.8401826484018264,0.8469387755102041,0.9757092527350268
7050,7.57250268528464,0.0148,,0.0148,,,,,,
7100,7.626208378088077,0.15213017165660858,0.9577861163227017,0.15213017165660858,0.8921075857178741,0.9225188634768213,0.8663315848605228,0.8407079646017699,0.8586118251928021,0.9770029673590505
7150,7.679914070891514,0.0242,,0.0242,,,,,,
7200,7.733619763694952,0.15901415050029755,0.9534083802376485,0.15901415050029755,0.8851854282226453,0.9214987927154429,0.8575501599632372,0.8401826484018264,0.8406524466750314,0.9747211895910781
7250,7.7873254564983885,0.0094,,0.0094,,,,,,
7300,7.841031149301826,0.15613548457622528,0.9543464665415885,0.15613548457622528,0.8899731118084145,0.9249362488625389,0.8623773123950657,0.8506787330316742,0.8445006321112516,0.974739970282318
7350,7.894736842105263,0.0104,,0.0104,,,,,,
7400,7.9484425349087005,0.15858204662799835,0.9534083802376485,0.15858204662799835,0.8848215266594952,0.924381665532108,0.8539635284370761,0.8401826484018264,0.8396946564885496,0.9745872750881098
7450,8.002148227712137,0.0106,,0.0106,,,,,,
7500,8.055853920515574,0.16533811390399933,0.9540337711069419,0.16533811390399933,0.8889998976104067,0.9245585175004399,0.8608182352480825,0.8506787330316742,0.8415716096324461,0.9747493501670998
7550,8.109559613319012,0.0047,,0.0047,,,,,,
7600,8.16326530612245,0.16771762073040009,0.9505941213258287,0.16771762073040009,0.8830010868089456,0.9105701338775907,0.8616015442620747,0.8430493273542601,0.8333333333333334,0.9726205997392438
7650,8.216970998925886,0.008,,0.008,,,,,,
7700,8.270676691729323,0.16416093707084656,0.9505941213258287,0.16416093707084656,0.8814732554460226,0.9140323980452264,0.8578649917450343,0.8401826484018264,0.8310727496917386,0.9731643682445025
7750,8.324382384532761,0.0061,,0.0061,,,,,,
