step,epoch,loss,f1,loss,precision,recall
5200,20.233463035019454,0.06374011188745499,0.8514767932489452,0.06374011188745499,0.9106498194945848,0.7995245641838352
5250,20.428015564202333,0.0053,,0.0053,,
5300,20.622568093385215,0.059224262833595276,0.8390041493775934,0.059224262833595276,0.8806620209059234,0.8011093502377179
5350,20.817120622568094,0.0055,,0.0055,,
5400,21.011673151750973,0.06485157459974289,0.8481543624161073,0.06485157459974289,0.9010695187165776,0.8011093502377179
5450,21.20622568093385,0.0056,,0.0056,,
5500,21.40077821011673,0.061296962201595306,0.8311367380560132,0.061296962201595306,0.8653516295025729,0.7995245641838352
5550,21.595330739299612,0.0047,,0.0047,,
5600,21.78988326848249,0.057307370007038116,0.8148148148148149,0.057307370007038116,0.8281505728314239,0.8019017432646592
5650,21.98443579766537,0.0043,,0.0043,,
5700,22.17898832684825,0.05765485391020775,0.8429276315789473,0.05765485391020775,0.8760683760683761,0.812202852614897
5750,22.373540856031127,0.004,,0.004,,
5800,22.56809338521401,0.055437177419662476,0.8441127694859039,0.055437177419662476,0.8852173913043478,0.8066561014263075
5850,22.762645914396888,0.0047,,0.0047,,
5900,22.957198443579767,0.06550011038780212,0.8482816429170159,0.06550011038780212,0.900355871886121,0.8019017432646592
5950,23.151750972762645,0.0052,,0.0052,,
6000,23.346303501945524,0.057601574808359146,0.8437894736842105,0.057601574808359146,0.9002695417789758,0.7939778129952456
6050,23.540856031128406,0.0045,,0.0045,,
6100,23.735408560311285,0.06681206822395325,0.8549874266554903,0.06681206822395325,0.9074733096085409,0.8082408874801902
6150,23.929961089494164,0.0037,,0.0037,,
6200,24.124513618677042,0.06319610029459,0.848890749267476,0.06319610029459,0.8997338065661047,0.803486529318542
6250,24.31906614785992,0.0038,,0.0038,,
6300,24.5136186770428,0.05904068425297737,0.8461538461538461,0.05904068425297737,0.8747884940778342,0.8193343898573693
6350,24.708171206225682,0.003,,0.003,,
6400,24.90272373540856,0.06444291770458221,0.8543771043771045,0.06444291770458221,0.9111310592459605,0.8042789223454834
6450,25.09727626459144,0.0036,,0.0036,,
6500,25.291828793774318,0.06099538877606392,0.8451639684516398,0.06099538877606392,0.8875326939843069,0.8066561014263075
6550,25.486381322957197,0.0037,,0.0037,,
6600,25.68093385214008,0.05689723789691925,0.8511705685618729,0.05689723789691925,0.9008849557522124,0.8066561014263075
6650,25.875486381322958,0.0033,,0.0033,,
6700,26.070038910505836,0.06351739913225174,0.8353085410706989,0.06351739913225174,0.8624472573839662,0.8098256735340729
6750,26.264591439688715,0.0025,,0.0025,,
6800,26.459143968871594,0.06037291884422302,0.8589420654911838,0.06037291884422302,0.9133928571428571,0.8106180665610143
6850,26.653696498054476,0.003,,0.003,,
6900,26.848249027237355,0.06979747116565704,0.8484848484848484,0.06979747116565704,0.8910200523103748,0.8098256735340729
6950,27.042801556420233,0.0032,,0.0032,,
7000,27.237354085603112,0.06399103254079819,0.8519437551695617,0.06399103254079819,0.8910034602076125,0.8161648177496038
7050,27.43190661478599,0.0026,,0.0026,,
7100,27.626459143968873,0.05969294533133507,0.8542880932556204,0.05969294533133507,0.9,0.8129952456418383
7150,27.82101167315175,0.0026,,0.0026,,
7200,28.01556420233463,0.06192732974886894,0.8456764584195283,0.06192732974886894,0.8848484848484849,0.8098256735340729
7250,28.21011673151751,0.0034,,0.0034,,
7300,28.404669260700388,0.0527489073574543,0.8525135022850021,0.0527489073574543,0.8960698689956332,0.8129952456418383
7350,28.59922178988327,0.0027,,0.0027,,
7400,28.79377431906615,0.06569219380617142,0.8496240601503761,0.06569219380617142,0.8984098939929329,0.805863708399366
7450,28.988326848249027,0.0029,,0.0029,,
7500,29.182879377431906,0.06340105831623077,0.8403639371381307,0.06340105831623077,0.8788927335640139,0.8050713153724247
7550,29.377431906614785,0.004,,0.004,,
7600,29.571984435797667,0.06541566550731659,0.8401976935749589,0.06541566550731659,0.8747855917667239,0.8082408874801902
7650,29.766536964980546,0.0035,,0.0035,,
7700,29.961089494163424,0.060807857662439346,0.8446280991735536,0.060807857662439346,0.8825561312607945,0.8098256735340729
7750,30.155642023346303,0.0034,,0.0034,,
7800,30.35019455252918,0.06938466429710388,0.8532883642495784,0.06938466429710388,0.9117117117117117,0.8019017432646592
7850,30.544747081712064,0.0028,,0.0028,,
7900,30.739299610894943,0.059065524488687515,0.8644283892902677,0.059065524488687515,0.9321723189734189,0.805863708399366
7950,30.93385214007782,0.0024,,0.0024,,
8000,31.1284046692607,0.054562684148550034,0.8273092369477911,0.054562684148550034,0.8387622149837134,0.8161648177496038
8050,31.32295719844358,0.0024,,0.0024,,
8100,31.51750972762646,0.05757569894194603,0.8548922056384742,0.05757569894194603,0.8965217391304348,0.8169572107765452
8150,31.71206225680934,0.0019,,0.0019,,
8200,31.90661478599222,0.056628260761499405,0.8596713021491783,0.056628260761499405,0.918091809180918,0.8082408874801902
8250,32.1011673151751,0.0022,,0.0022,,
8300,32.295719844357976,0.0608070008456707,0.8581081081081081,0.0608070008456707,0.918625678119349,0.8050713153724247
8350,32.490272373540854,0.0027,,0.0027,,
